t;Wt;Rt;Tt
0;7.338692308;0;27.81026923
1;7.324846154;0;27.75123077
2;7.297538462;0;27.70313462
3;7.301519231;0;27.67701923
4;7.336192308;0;27.67948077
5;7.366307692;0;27.70444231
6;7.396826923;15.88986538;27.73236538
7;7.424038462;135.0835769;27.77217308
8;7.422807692;312.8125;27.81932692
9;7.367192308;485.4335385;27.86190385
10;7.253538462;621.3480192;27.89155769
11;7.096423077;711.1586731;27.89990385
12;6.912230769;735.1953846;27.88605769
13;6.719288462;699.7383269;27.86382692
14;6.580961538;602.7573269;27.84582692
15;6.539576923;456.3485962;27.84238462
16;6.570730769;284.1281154;27.85330769
17;6.674788462;115.6622115;27.87246154
18;6.843019231;10.60773077;27.89
19;7.045423077;0;27.91101923
20;7.214788462;0;27.93086538
21;7.327596154;0;27.93967308
22;7.420038462;0;27.92705769
23;7.466980769;0;27.88667308
