t;Wt;Rt;Tt
0;7.779716981;0;27.84786792
1;7.777245283;0;27.788
2;7.808207547;0;27.74107547
3;7.891;0;27.71845283
4;7.993603774;0;27.72669811
5;8.082433962;0;27.75601887
6;8.147018868;16.09835849;27.79062264
7;8.169018868;138.6056226;27.83
8;8.135150943;319.7395849;27.87769811
9;8.031698113;500.1739811;27.92003774
10;7.894150943;645.1753585;27.96128302
11;7.708660377;733.791;27.99111321
12;7.486264151;754.6081321;27.99845283
13;7.267188679;715.4004906;27.99601887
14;7.118433962;617.1152075;27.98796226
15;7.069415094;474.5992075;27.98164151
16;7.120150943;300.3071698;27.97658491
17;7.23545283;122.6390566;27.97401887
18;7.387716981;11.11360377;27.97201887
19;7.630037736;0;27.95111321
20;7.736924528;0;27.9570566
21;7.815679245;0;27.95224528
22;7.904075472;0;27.92671698
23;7.977509434;0;27.8745283
