t;Wt;Rt;Tt
0;7.944480769;0;27.82955769
1;7.999653846;0;27.77463462
2;8.032096154;0;27.72792308
3;8.085557692;0;27.69330769
4;8.143673077;0;27.68242308
5;8.208096154;0;27.69769231
6;8.281211538;14.99140385;27.72388462
7;8.340596154;132.3192885;27.76980769
8;8.329403846;301.9284615;27.82919231
9;8.244673077;467.219;27.89205769
10;8.103634615;596.2905192;27.94198077
11;7.916288462;678.12575;27.96988462
12;7.707692308;702.8715192;27.97434615
13;7.514884615;665.1633269;27.96457692
14;7.366846154;573.2814808;27.94965385
15;7.273692308;434.5156731;27.94569231
16;7.222730769;272.5816538;27.94596154
17;7.252403846;113.1581538;27.95067308
18;7.372653846;10.20234615;27.95813462
19;7.530596154;0;27.96938462
20;7.676884615;0;27.98069231
21;7.767461538;0;27.98673077
22;7.832346154;0;27.96355769
23;7.839942308;0;27.91011538
