t;Wt;Rt;Tt
0;7.645711538;0;27.84059615
1;7.625653846;0;27.77753846
2;7.637192308;0;27.72473077
3;7.695769231;0;27.69146154
4;7.781634615;0;27.68665385
5;7.891961538;0;27.71232692
6;8.029596154;16.26792308;27.74930769
7;8.148423077;138.16475;27.80359615
8;8.168730769;319.0362308;27.86817308
9;8.084230769;499.8266923;27.93013462
10;7.911884615;644.0607308;27.98167308
11;7.680615385;736.2026731;28.00648077
12;7.424057692;764.6075577;28.00501923
13;7.207096154;723.8269231;27.98909615
14;7.065846154;628.4182885;27.97598077
15;7.001346154;481.9197885;27.97236538
16;7.020403846;303.5603846;27.97705769
17;7.113884615;123.5286346;27.98646154
18;7.234076923;11.37488462;27.99311538
19;7.367307692;0;28.00178846
20;7.483788462;0;28.00751923
21;7.567153846;0;28.00146154
22;7.6465;0;27.97244231
23;7.679846154;0;27.92025
