t;Wt;Rt;Tt
0;7.452980769;0;27.83298077
1;7.442096154;0;27.77503846
2;7.47675;0;27.72975
3;7.567769231;0;27.70413462
4;7.653384615;0;27.70475
5;7.736269231;0;27.72538462
6;7.827403846;16.58209615;27.75426923
7;7.903442308;137.1639423;27.79307692
8;7.936653846;315.0386923;27.84021154
9;7.881557692;494.0433846;27.88523077
10;7.762615385;641.0978846;27.92653846
11;7.599153846;733.0747885;27.95369231
12;7.418076923;761.1098846;27.96375
13;7.264326923;726.3079231;27.96603846
14;7.165153846;631.1571154;27.96532692
15;7.137384615;486.3596346;27.96863462
16;7.168076923;306.9396538;27.97159615
17;7.241596154;125.8737308;27.97113462
18;7.335865385;11.53682692;27.97326923
19;7.424865385;0;27.97630769
20;7.484519231;0;27.97690385
21;7.547615385;0;27.97105769
22;7.614730769;0;27.94753846
23;7.651942308;0;27.89903846
