t;Wt;Rt;Tt
0;7.812961538;0;27.84815385
1;7.82575;0;27.78840385
2;7.876076923;0;27.73986538
3;7.951230769;0;27.71107692
4;7.982096154;0;27.70730769
5;7.980980769;0;27.72471154
6;7.974057692;15.53757692;27.75009615
7;7.942653846;130.8459231;27.78371154
8;7.886980769;300.2593654;27.82759615
9;7.811288462;466.5876346;27.87273077
10;7.708980769;597.6056346;27.90884615
11;7.554769231;675.6031923;27.92376923
12;7.379326923;695.6803077;27.91813462
13;7.210423077;658.0987115;27.90355769
14;7.084519231;569.8065769;27.89090385
15;7.038961538;437.9273462;27.88965385
16;7.043923077;278.5210192;27.89369231
17;7.117153846;116.4973654;27.90611538
18;7.242423077;11.18955769;27.91898077
19;7.390423077;0;27.93434615
20;7.520461538;0;27.953
21;7.570942308;0;27.96194231
22;7.568307692;0;27.94434615
23;7.535307692;0;27.89438462
