t;Wt;Rt;Tt
0;7.505961538;0;27.77673077
1;7.495538462;0;27.71944231
2;7.468326923;0;27.67786538
3;7.48075;0;27.66255769
4;7.545153846;0;27.67019231
5;7.626423077;0;27.69405769
6;7.702423077;17.587;27.72367308
7;7.760865385;138.6315962;27.76026923
8;7.771403846;316.0239808;27.79832692
9;7.705846154;490.0006154;27.83396154
10;7.585961538;631.8121538;27.86001923
11;7.432596154;722.2888462;27.8695
12;7.264519231;749.9044231;27.86201923
13;7.130346154;707.3205577;27.84763462
14;7.054807692;609.2755385;27.83709615
15;7.043096154;463.7676731;27.83640385
16;7.072884615;291.9721154;27.84651923
17;7.163192308;118.1085192;27.85913462
18;7.283442308;10.83307692;27.87321154
19;7.419365385;0;27.88994231
20;7.541615385;0;27.91190385
21;7.610730769;0;27.92475
22;7.672942308;0;27.91176923
23;7.697096154;0;27.87146154
