t;Wt;Rt;Tt
0;7.822415094;0;27.82941509
1;7.818981132;0;27.76996226
2;7.87190566;0;27.72432075
3;7.986849057;0;27.70073585
4;8.119603774;0;27.70416981
5;8.248886792;0;27.72735849
6;8.34690566;18.48183019;27.76033962
7;8.402132075;144.2619811;27.8010566
8;8.403981132;326.8483962;27.85356604
9;8.355641509;499.1838679;27.90992453
10;8.241339623;639.4487547;27.95833962
11;8.053320755;730.4121132;27.98309434
12;7.81690566;760.1484528;27.98937736
13;7.603603774;726.2868491;27.97877358
14;7.460603774;626.1730943;27.96318868
15;7.425509434;480.2361132;27.94943396
16;7.477622642;302.544;27.94433962
17;7.597943396;122.5810566;27.94213208
18;7.740528302;10.83818868;27.94603774
19;7.984603774;0;27.93296226
20;8.073754717;0;27.9459434
21;8.132622642;0;27.94858491
22;8.2;0;27.93354717
23;8.24990566;0;27.89611321
