t;Wt;Rt;Tt
0;7.748326923;0;27.80505769
1;7.715442308;0;27.73680769
2;7.717192308;0;27.68092308
3;7.742307692;0;27.64642308
4;7.768326923;0;27.64330769
5;7.801538462;0;27.66573077
6;7.857192308;18.759;27.69605769
7;7.903038462;143.4980962;27.73976923
8;7.874730769;323.5560769;27.79021154
9;7.784403846;497.5046538;27.83613462
10;7.648480769;639.2161154;27.86528846
11;7.457769231;731.6263462;27.87353846
12;7.220365385;760.0120385;27.862
13;7.006634615;719.3653077;27.84873077
14;6.8875;623.8059615;27.83896154
15;6.897115385;477.3163269;27.83755769
16;6.967423077;300.5258654;27.85173077
17;7.056;121.8733846;27.87269231
18;7.156923077;11.31442308;27.88932692
19;7.247596154;0;27.90567308
20;7.324076923;0;27.91692308
21;7.395384615;0;27.91525
22;7.471903846;0;27.88838462
23;7.503557692;0;27.83630769
