t;Wt;Rt;Tt
0;2.384942308;0;14.78662633
1;2.322980769;0;14.61733303
2;2.309269231;0;14.46544322
3;2.337884615;0;14.29845383
4;2.355307692;0;14.02134976
5;2.361461538;0.506067308;13.81936579
6;2.422038462;40.84453205;13.76436272
7;2.154019231;151.4499968;14.58902386
8;2.168692308;331.4996502;16.58724915
9;2.478826923;480.6831605;18.78444626
10;2.751096154;628.4365304;20.26693108
11;2.838423077;711.517151;21.50679017
12;2.787923077;729.69928;22.3309998
13;2.676807692;686.4102207;22.71474817
14;2.522115385;523.8630634;22.79473584
15;2.304769231;348.6100693;22.4560727
16;1.972307692;161.3724808;21.44492651
17;1.953634615;38.79751282;20.06369446
18;2.353826923;0.644814103;18.43390658
19;2.629634615;0;17.25507447
20;2.7585;0;16.41728129
21;2.749384615;0;15.78917734
22;2.662538462;0;15.27453371
23;2.601;0;14.89549032
