t;Wt;Rt;Tt
0;2.485807692;0;14.67583313
1;2.426596154;0;14.42513623
2;2.328192308;0;14.20081364
3;2.333788462;0;13.94900353
4;2.295019231;0;13.70386239
5;2.276442308;0.527221154;13.55908984
6;2.307903846;40.37463141;13.5804855
7;2.084384615;151.5669391;14.42254909
8;1.946134615;337.490106;16.47159841
9;2.192711538;503.708308;18.67982342
10;2.413711538;629.1815352;20.21347591
11;2.482538462;707.8090205;21.43344461
12;2.451769231;706.0346473;22.3130155
13;2.390038462;662.5474629;22.83190464
14;2.301673077;514.6843331;22.98114976
15;2.134615385;341.7836916;22.57449077
16;1.909903846;171.8526026;21.55021262
17;1.949673077;44.80071474;20.04697702
18;2.333538462;0.791125;18.38945385
19;2.524788462;0;17.19963488
20;2.578923077;0;16.41910336
21;2.574942308;0;15.75508445
22;2.54325;0;15.24889715
23;2.496461538;0;14.86996997
