t;Wt;Rt;Tt
0;2.55725;0;14.66321148
1;2.45775;0;14.50467568
2;2.351961538;0;14.2813341
3;2.337365385;0;14.08788046
4;2.341461538;0;13.9099703
5;2.369769231;0.588528846;13.70627987
6;2.324038462;37.19264744;13.69927533
7;2.081538462;142.3673814;14.52203456
8;2.065442308;327.9495214;16.49851488
9;2.314230769;489.1736898;18.61107436
10;2.521846154;578.8241917;20.05458856
11;2.607634615;696.4195966;21.20968779
12;2.605326923;699.4292157;21.957173
13;2.538807692;653.4208513;22.47646522
14;2.417173077;523.087626;22.73822494
15;2.242269231;360.5756003;22.54321982
16;1.958192308;174.2478141;21.60626623
17;1.949730769;45.12869551;20.19236563
18;2.31425;0.72200641;18.44021428
19;2.569865385;0;17.33340341
20;2.653134615;0;16.59505211
21;2.667115385;0;15.88449891
22;2.582538462;0;15.28955281
23;2.497692308;0;14.86917513
