t;Wt;Rt;Tt
0;2.489730769;0;14.61542832
1;2.507615385;0;14.4052042
2;2.477038462;0;14.19499881
3;2.504769231;0;14.00354679
4;2.533653846;0;13.79356241
5;2.494923077;0.519285256;13.56827916
6;2.422865385;39.43408013;13.5231334
7;2.121480769;142.6687244;14.39786194
8;2.084769231;323.7152201;16.53471291
9;2.392557692;476.1503447;18.72774495
10;2.632057692;624.8090409;20.34992262
11;2.711961538;675.1426822;21.55783491
12;2.643211538;707.6088441;22.4427805
13;2.5165;650.1515807;22.97789592
14;2.387403846;497.4222559;22.99579518
15;2.199173077;325.3270741;22.59714624
16;1.951615385;159.2561923;21.67604154
17;2.056788462;42.14044551;20.25425126
18;2.546884615;0.674147436;18.53195204
19;2.792211538;0;17.37171273
20;2.834153846;0;16.52445548
21;2.855615385;0;15.83393325
22;2.727846154;0;15.34567751
23;2.542961538;0;15.00513095
