t;Wt;Rt;Tt
0;2.471192308;0;14.61778923
1;2.496653846;0;14.41714388
2;2.506038462;0;14.23851603
3;2.507230769;0;14.05104841
4;2.463576923;0;13.8431734
5;2.405230769;0.546115385;13.66460512
6;2.4115;38.73098077;13.63568023
7;2.213;146.2204038;14.47508858
8;2.165307692;324.0815565;16.54911917
9;2.392269231;486.1663517;18.70494912
10;2.598961538;624.023516;20.23074257
11;2.730576923;663.7051499;21.3975817
12;2.740615385;676.1615135;22.14920924
13;2.6315;639.1434882;22.59352279
14;2.44575;497.8627676;22.70641193
15;2.217326923;331.497887;22.30089943
16;1.925711538;161.006859;21.2795387
17;1.905134615;41.96654808;19.98045382
18;2.2705;0.698144231;18.3740499
19;2.449711538;0;17.16874784
20;2.448961538;0;16.26497135
21;2.476096154;0;15.60416422
22;2.490903846;0;15.076198
23;2.436961538;0;14.66566204
