t;Wt;Rt;Tt
0;2.370653846;0;14.48549564
1;2.373230769;0;14.26431494
2;2.386365385;0;14.10813778
3;2.366403846;0;13.90968068
4;2.345826923;0;13.7105505
5;2.371692308;0.644817308;13.51332509
6;2.434326923;42.04444551;13.48679893
7;2.189634615;157.9704647;14.43281341
8;2.062403846;356.862515;16.51886378
9;2.390865385;549.3046025;19.01524775
10;2.662480769;648.5030575;20.64486628
11;2.753403846;732.8100735;21.97080367
12;2.673096154;749.7061046;22.70991718
13;2.527230769;678.2639492;23.05759164
14;2.364153846;510.7769166;23.15260721
15;2.167826923;339.4882404;22.76072197
16;1.90475;166.7961314;21.79540271
17;1.942307692;42.16219872;20.37075651
18;2.322134615;0.715432692;18.66102681
19;2.484019231;0;17.41738658
20;2.565173077;0;16.56752978
21;2.518634615;0;15.88612565
22;2.465673077;0;15.30311014
23;2.446769231;0;14.88103857
