t;Wt;Rt;Tt
0;3.063754717;0;24.13375472
1;3.191698113;0;23.87843396
2;3.326150943;0;23.63867925
3;3.397358491;0;23.44377358
4;3.341754717;0;23.31615094
5;3.297792453;3.044264151;23.20326415
6;3.139188679;80.30849057;23.59243396
7;1.899377358;225.2556226;24.78698113
8;1.689943396;375.532434;25.86354717
9;1.979301887;499.7758679;26.76720755
10;2.030132075;579.6113962;27.53145283
11;1.984660377;618.4674906;28.08707547
12;1.888245283;599.7532264;28.36271698
13;1.756773585;530.9759057;28.38745283
14;1.503943396;410.5430943;28.16518868
15;1.103056604;267.2700943;27.76937736
16;0.863433962;125.6806415;27.24192453
17;1.201490566;17.97360377;26.57960377
18;1.681716981;0;26.01569811
19;2.089792453;0;25.61756604
20;2.435358491;0;25.26249057
21;2.666811321;0;24.95162264
22;2.798754717;0;24.67281132
23;2.920056604;0;24.39862264
