t;Wt;Rt;Tt
0;3.351865385;0;24.06692308
1;3.438134615;0;23.84834615
2;3.527923077;0;23.66184615
3;3.560173077;0;23.51001923
4;3.483365385;0;23.38026923
5;3.409211538;3.108826923;23.26746154
6;3.104461538;84.40505769;23.686
7;1.900365385;235.7444615;24.89107692
8;1.878134615;393.9215385;25.995
9;2.045634615;522.4220769;26.98061538
10;2.120173077;610.9798846;27.78471154
11;2.072134615;652.9139808;28.32759615
12;1.997653846;633.6477115;28.57786538
13;1.892711538;558.9949038;28.58001923
14;1.636;431.1415192;28.34313462
15;1.211961538;281.0993654;27.94815385
16;0.876538462;131.9889038;27.42217308
17;1.241038462;18.52682692;26.76601923
18;1.829673077;0;26.16457692
19;2.382403846;0;25.71821154
20;2.719884615;0;25.35240385
21;2.8625;0;25.06907692
22;2.875288462;0;24.83738462
23;2.80675;0;24.63398077
