t;Wt;Rt;Tt
0;3.062807692;0;24.14405769
1;3.218076923;0;23.93184615
2;3.345384615;0;23.75555769
3;3.416096154;0;23.60513462
4;3.377961538;0;23.46046154
5;3.368423077;2.835192308;23.31457692
6;3.147076923;77.17830769;23.66448077
7;1.8665;220.3733269;24.76925
8;1.752711538;369.4570962;25.81909615
9;2.056576923;490.1220962;26.74946154
10;2.072846154;575.5294615;27.53257692
11;1.987576923;622.5086154;28.12996154
12;1.874730769;613.0290962;28.45425
13;1.715961538;539.9361154;28.49334615
14;1.484615385;415.4504038;28.27413462
15;1.166461538;265.3166346;27.84380769
16;0.992596154;127.2060385;27.31976923
17;1.424711538;17.70488462;26.65619231
18;2.070192308;0;26.01028846
19;2.5885;0;25.53773077
20;2.934211538;0;25.157
21;3.160173077;0;24.83388462
22;3.272769231;0;24.56261538
23;3.306173077;0;24.31034615
