t;Wt;Rt;Tt
0;3.045480769;0;24.07696154
1;3.132615385;0;23.83553846
2;3.199153846;0;23.62501923
3;3.265730769;0;23.46019231
4;3.238;0;23.32525
5;3.179673077;3.175673077;23.17761538
6;2.945038462;84.17682692;23.56240385
7;1.750057692;238.6246731;24.74226923
8;1.726115385;400.6057308;25.83215385
9;1.973096154;529.5081731;26.83234615
10;2.078346154;622.7410192;27.66034615
11;2.089826923;667.3848077;28.23494231
12;2.015557692;648.4809808;28.51571154
13;1.875519231;564.5043654;28.52248077
14;1.636057692;437.1060192;28.29592308
15;1.233307692;280.2005385;27.86559615
16;0.929038462;132.9770962;27.34105769
17;1.248903846;18.58357692;26.63832692
18;1.689942308;0;26.05432692
19;2.062865385;0;25.64580769
20;2.388365385;0;25.28967308
21;2.635923077;0;24.96175
22;2.824711538;0;24.66023077
23;2.966192308;0;24.38646154
