t;Wt;Rt;Tt
0;3.118346154;0;24.15798077
1;3.133211538;0;23.96751923
2;3.157134615;0;23.79038462
3;3.239134615;0;23.62532692
4;3.317211538;0;23.46188462
5;3.365365385;2.964307692;23.34494231
6;3.195134615;80.25159615;23.75244231
7;1.786576923;230.6133654;24.88498077
8;1.699653846;388.9168462;25.93023077
9;1.912634615;523.1562115;26.84663462
10;1.871519231;614.9958462;27.66590385
11;1.795096154;657.9579808;28.27536538
12;1.722019231;646.7245192;28.56175
13;1.631692308;574.1798462;28.56628846
14;1.427923077;444.9925192;28.32636538
15;1.092769231;287.2400192;27.91476923
16;0.853134615;137.1042308;27.38455769
17;1.242076923;19.62513462;26.69353846
18;1.740134615;0;26.12426923
19;2.232115385;0;25.69284615
20;2.648557692;0;25.31207692
21;2.921980769;0;24.98776923
22;3.048461538;0;24.71609615
23;3.083288462;0;24.48065385
