t;Wt;Rt;Tt
0;2.769115385;0;24.42575
1;2.734961538;0;24.22728846
2;2.749769231;0;24.03119231
3;2.792923077;0;23.84634615
4;2.776961538;0;23.70105769
5;2.783557692;2.946384615;23.55430769
6;2.821442308;79.05853846;23.81005769
7;1.818903846;220.3704038;24.88207692
8;1.666673077;364.8465385;25.88905769
9;1.902057692;476.6386538;26.77348077
10;1.96825;551.3681923;27.51103846
11;1.906961538;590.4056538;28.04638462
12;1.803788462;582.8125769;28.32030769
13;1.678192308;516.9587692;28.33909615
14;1.484230769;403.7545769;28.11530769
15;1.140903846;261.9948077;27.71463462
16;0.895903846;126.2223269;27.20232692
17;1.272211538;18.20653846;26.56917308
18;1.779057692;0;25.99071154
19;2.197461538;0;25.55578846
20;2.539519231;0;25.20101923
21;2.783961538;0;24.90167308
22;2.958019231;0;24.62905769
23;3.061865385;0;24.37898077
